benchmark,nsets,bsize,assoc,IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy
hmmer,32,2,16,0.853951,3942861.0,0.002246,8855.0,3934006.0,3466827.0,0.010878,37712.0,3429115.0,3997977690.0,4086570690.0
hmmer,64,4,32,0.965834,3940791.0,0.000305,1200.0,3939591.0,3448411.0,0.002943,10148.0,3438263.0,3393733635.0,2807388765.0
hmmer,64,1,16,0.704538,3924102.0,0.008501,33358.0,3890744.0,3454003.0,0.024798,85653.0,3368350.0,5037613470.0,5059302465.0
hmmer,32,1,32,0.882319,3929239.0,0.00264,10374.0,3918865.0,3453037.0,0.009664,33370.0,3419667.0,3852208545.0,3854108520.0
hmmer,16,2,16,0.834731,3943508.0,0.002787,10990.0,3932518.0,3489350.0,0.012429,43368.0,3445982.0,4152108360.0,4224876390.0
hmmer,64,2,32,0.944326,3933880.0,0.001448,5697.0,3928183.0,3449172.0,0.003787,13063.0,3436109.0,3484920975.0,3289156845.0
hmmer,64,2,16,0.879767,3936222.0,0.002203,8670.0,3927552.0,3449742.0,0.008531,29431.0,3420311.0,3848212410.0,3944868375.0
hmmer,32,1,8,0.488294,3799213.0,0.026741,101595.0,3697618.0,3433240.0,0.040051,137503.0,3295737.0,7315918785.0,7959670170.0
hmmer,32,1,16,0.677121,4006021.0,0.007181,28766.0,3977255.0,3475287.0,0.023683,82304.0,3392983.0,5255089215.0,5299330365.0
hmmer,32,4,32,0.946887,3941910.0,0.000509,2008.0,3939902.0,3466302.0,0.00581,20138.0,3446164.0,3526085190.0,3263782935.0
hmmer,16,2,32,0.881651,3934284.0,0.002673,10517.0,3923767.0,3488478.0,0.008104,28271.0,3460207.0,3906918810.0,3830073660.0
hmmer,64,1,32,0.908051,3844702.0,0.005048,19409.0,3825293.0,3435233.0,0.00977,33563.0,3401670.0,3670562955.0,3692513805.0
hmmer,16,1,16,0.700153,3911920.0,0.01021,39941.0,3871979.0,3479477.0,0.016097,56010.0,3423467.0,5050961520.0,5254413375.0
hmmer,16,4,32,0.923712,3940412.0,0.00083,3271.0,3937141.0,3488811.0,0.007785,27159.0,3461652.0,3704257770.0,3546904605.0
hmmer,32,2,32,0.913181,3937050.0,0.001864,7338.0,3929712.0,3466402.0,0.006329,21940.0,3444462.0,3693768195.0,3628799955.0
hmmer,64,1,8,0.543422,3902229.0,0.028972,113056.0,3789173.0,3467420.0,0.04456,154507.0,3312913.0,6601264575.0,7020744255.0
hmmer,16,1,8,0.428322,3784633.0,0.039219,148429.0,3636204.0,3472088.0,0.027536,95607.0,3376481.0,8217536385.0,9199627110.0
libquantum,16,1,32,0.781718,3334846.0,0.000332,1108.0,3333738.0,3334091.0,0.500072,1667286.0,1666805.0,5841838050.0,5908203795.0
libquantum,32,2,16,0.454435,3335235.0,0.000208,694.0,3334541.0,3334055.0,0.49967,1665927.0,1668128.0,7231930395.0,7204023240.0
libquantum,64,4,32,0.739336,3335572.0,0.00013,433.0,3335139.0,3334026.0,0.249866,833059.0,2500967.0,4824784110.0,4811616825.0
libquantum,64,1,16,0.732627,3335584.0,0.000153,509.0,3335075.0,3334088.0,0.251872,839763.0,2494325.0,4537460325.0,5192416500.0
libquantum,32,1,32,0.451329,3335261.0,0.000213,710.0,3334551.0,3334068.0,0.500042,1667173.0,1666895.0,7803128325.0,7983658140.0
libquantum,16,2,16,0.778869,3334830.0,0.000331,1104.0,3333726.0,3334086.0,0.499705,1666061.0,1668025.0,5529070155.0,5506099350.0
libquantum,64,2,32,0.734539,3335540.0,0.000134,446.0,3335094.0,3334024.0,0.249866,833060.0,2500964.0,4855000695.0,4840445310.0
libquantum,64,2,16,0.736903,3335516.0,0.000142,472.0,3335044.0,3334035.0,0.249871,833077.0,2500958.0,4531293495.0,4515740100.0
libquantum,32,1,8,0.453793,3335087.0,0.000245,816.0,3334271.0,3334052.0,0.501155,1670876.0,1663176.0,7071362955.0,8455705635.0
libquantum,32,1,16,0.453794,3335183.0,0.000219,730.0,3334453.0,3334048.0,0.50041,1668390.0,1665658.0,7298486010.0,7940021625.0
libquantum,32,4,32,0.452693,3335292.0,0.000198,659.0,3334633.0,3334050.0,0.49967,1665925.0,1668125.0,7805214540.0,7803803670.0
libquantum,16,2,32,0.781605,3334885.0,0.000322,1075.0,3333810.0,3334082.0,0.499704,1666055.0,1668027.0,5853291510.0,5832390810.0
libquantum,64,1,32,0.734567,3335616.0,0.000148,493.0,3335123.0,3334080.0,0.250874,836435.0,2497645.0,4841375460.0,4965222585.0
libquantum,16,1,16,0.780364,3334839.0,0.00034,1135.0,3333704.0,3334102.0,0.50044,1668517.0,1665585.0,5523656415.0,6172253595.0
libquantum,16,4,32,0.777879,3334899.0,0.00032,1066.0,3333833.0,3334081.0,0.499705,1666056.0,1668025.0,5873858775.0,5893466430.0
libquantum,32,2,32,0.452237,3335269.0,0.0002,667.0,3334602.0,3334051.0,0.49967,1665925.0,1668126.0,7864631010.0,7752562905.0
libquantum,64,1,8,0.730105,3335497.0,0.000174,582.0,3334915.0,3334104.0,0.253872,846436.0,2487668.0,4454901420.0,5229453600.0
libquantum,16,1,8,0.779271,3334691.0,0.000377,1256.0,3333435.0,3334090.0,0.50118,1670978.0,1663112.0,5437176915.0,6167374350.0
namd,16,1,32,1.103358,3076107.0,0.021407,65849.0,3010258.0,2649594.0,0.007299,19340.0,2630254.0,3123971040.0,3137026605.0
namd,32,2,16,1.186283,3085420.0,0.01851,57110.0,3028310.0,2619272.0,0.007091,18573.0,2600699.0,2900430240.0,2881013805.0
namd,64,4,32,1.641087,3129977.0,0.001044,3267.0,3126710.0,2612350.0,0.003416,8925.0,2603425.0,1699088160.0,1983189000.0
namd,64,1,16,0.885541,3114754.0,0.029928,93217.0,3021537.0,2628454.0,0.024299,63870.0,2564584.0,4230987960.0,3957841650.0
namd,32,1,32,1.221355,3073094.0,0.018821,57838.0,3015256.0,2631759.0,0.006792,17876.0,2613883.0,2750543145.0,2793920295.0
namd,16,2,16,1.135738,3094094.0,0.016337,50547.0,3043547.0,2635874.0,0.007819,20611.0,2615263.0,3128843760.0,3092478180.0
namd,64,2,32,1.512163,3104891.0,0.005937,18434.0,3086457.0,2616890.0,0.003666,9593.0,2607297.0,1949203725.0,2153700255.0
namd,64,2,16,1.202591,3074100.0,0.020906,64267.0,3009833.0,2620509.0,0.004591,12032.0,2608477.0,2689564830.0,2751532080.0
namd,32,1,8,0.342601,3068430.0,0.086316,264854.0,2803576.0,2639712.0,0.030454,80391.0,2559321.0,12617183040.0,10371568860.0
namd,32,1,16,0.75853,3098194.0,0.035702,110613.0,2987581.0,2632747.0,0.024096,63438.0,2569309.0,5067613665.0,4677773505.0
namd,32,4,32,1.616208,3127743.0,0.001202,3758.0,3123985.0,2614138.0,0.006367,16643.0,2597495.0,1845843270.0,2067948270.0
namd,16,2,32,1.482439,3104983.0,0.006474,20101.0,3084882.0,2635215.0,0.00695,18316.0,2616899.0,2065669020.0,2285172060.0
namd,64,1,32,1.259182,3074553.0,0.018645,57324.0,3017229.0,2632438.0,0.004315,11358.0,2621080.0,2397060480.0,2611201095.0
namd,16,1,16,0.740136,3095824.0,0.037133,114956.0,2980868.0,2653969.0,0.019194,50941.0,2603028.0,5116856880.0,4850462835.0
namd,16,4,32,1.603074,3135861.0,0.000694,2177.0,3133684.0,2630071.0,0.006691,17597.0,2612474.0,1868036850.0,2108000130.0
namd,32,2,32,1.503475,3102931.0,0.006184,19188.0,3083743.0,2618790.0,0.006498,17018.0,2601772.0,1984360695.0,2230369530.0
namd,64,1,8,0.398807,3080154.0,0.067303,207304.0,2872850.0,2632166.0,0.034359,90438.0,2541728.0,11041743345.0,8860616565.0
namd,16,1,8,0.28506,3068939.0,0.10675,327609.0,2741330.0,2655672.0,0.025668,68166.0,2587506.0,14895404880.0,12479577525.0
cacheb01,16,1,32,1.88193,3277887.0,0.000528,1731.0,3276156.0,3430354.0,0.001649,5655.0,3424699.0,903816585.0,859216200.0
cacheb01,32,2,16,1.720246,3280695.0,0.000332,1090.0,3279605.0,3370197.0,0.007612,25654.0,3344543.0,2005737450.0,918998205.0
cacheb01,64,4,32,1.873517,3280545.0,0.000185,608.0,3279937.0,3392700.0,0.004125,13995.0,3378705.0,853647525.0,836373120.0
cacheb01,64,1,16,1.695903,3296279.0,0.000226,746.0,3295533.0,3352056.0,0.037538,125829.0,3226227.0,953840640.0,933074430.0
cacheb01,32,1,32,1.892054,3278989.0,0.000333,1092.0,3277897.0,3416931.0,0.00219,7483.0,3409448.0,865805160.0,838904955.0
cacheb01,16,2,16,1.721093,3279381.0,0.000531,1740.0,3277641.0,3390396.0,0.006187,20976.0,3369420.0,2025027945.0,933218640.0
cacheb01,64,2,32,1.877429,3280443.0,0.000197,645.0,3279798.0,3396453.0,0.003905,13264.0,3383189.0,852673830.0,835017315.0
cacheb01,64,2,16,1.800551,3281584.0,0.000214,701.0,3280883.0,3356865.0,0.010379,34840.0,3322025.0,904280040.0,878189175.0
cacheb01,32,1,8,1.407843,3306052.0,0.000397,1312.0,3304740.0,3329105.0,0.057676,192009.0,3137096.0,2624689815.0,2359848105.0
cacheb01,32,1,16,1.620383,3294383.0,0.000349,1151.0,3293232.0,3358340.0,0.029856,100265.0,3258075.0,2143096965.0,2058012885.0
cacheb01,32,4,32,1.867165,3279695.0,0.000301,987.0,3278708.0,3397063.0,0.004148,14092.0,3382971.0,871550175.0,844630485.0
cacheb01,16,2,32,1.883859,3278023.0,0.000511,1675.0,3276348.0,3430366.0,0.001633,5602.0,3424764.0,902577645.0,857417325.0
cacheb01,64,1,32,1.881164,3280254.0,0.000208,683.0,3279571.0,3401378.0,0.003175,10799.0,3390579.0,851666490.0,836368995.0
cacheb01,16,1,16,1.488688,3289515.0,0.000552,1816.0,3287699.0,3362282.0,0.027935,93927.0,3268355.0,2393712180.0,2277611625.0
cacheb01,16,4,32,1.885701,3278086.0,0.000497,1629.0,3276457.0,3430371.0,0.001632,5599.0,3424772.0,897883500.0,855070440.0
cacheb01,32,2,32,1.885683,3279250.0,0.000313,1026.0,3278224.0,3410296.0,0.002944,10040.0,3400256.0,864758700.0,838658940.0
cacheb01,64,1,8,1.631238,3299362.0,0.000274,903.0,3298459.0,3322496.0,0.05979,198652.0,3123844.0,996877620.0,970873860.0
cacheb01,16,1,8,1.246795,3311334.0,0.000614,2034.0,3309300.0,3323946.0,0.065003,216066.0,3107880.0,3149826105.0,2700412920.0
sjeng,16,1,32,0.159266,3229536.0,0.00034,1099.0,3228437.0,8479319.0,0.962812,8163993.0,315326.0,28789288365.0,28789656810.0
sjeng,32,2,16,0.09246,3230079.0,0.000216,699.0,3229380.0,8478952.0,0.961208,8150033.0,328919.0,35269719735.0,35264966580.0
sjeng,64,4,32,0.164872,3230270.0,0.000125,404.0,3229866.0,8479000.0,0.480884,4077415.0,4401585.0,21838123215.0,21835491990.0
sjeng,64,1,16,0.164134,3230501.0,0.000146,473.0,3230028.0,8479122.0,0.481347,4081401.0,4397721.0,20857932360.0,20854283010.0
sjeng,32,1,32,0.091897,3230180.0,0.000215,693.0,3229487.0,8479190.0,0.961339,8151372.0,327818.0,37802861385.0,37806102210.0
sjeng,16,2,16,0.16038,3229323.0,0.000338,1093.0,3228230.0,8479307.0,0.962726,8163247.0,316060.0,26937392685.0,26934805665.0
sjeng,64,2,32,0.164906,3230240.0,0.000129,418.0,3229822.0,8479002.0,0.480887,4077439.0,4401563.0,21787114050.0,21783321720.0
sjeng,64,2,16,0.164606,3230250.0,0.000134,432.0,3229818.0,8479007.0,0.480891,4077480.0,4401527.0,20858775810.0,20855280165.0
sjeng,32,1,8,0.092908,3230189.0,0.000235,759.0,3229430.0,8479170.0,0.961806,8155314.0,323856.0,34686237360.0,34693937265.0
sjeng,32,1,16,0.092454,3230141.0,0.000226,731.0,3229410.0,8479192.0,0.961521,8152922.0,326270.0,35912752575.0,35312904555.0
sjeng,32,4,32,0.09227,3230099.0,0.000208,673.0,3229426.0,8478948.0,0.961202,8149980.0,328968.0,37705118985.0,37702767225.0
sjeng,16,2,32,0.160821,3229302.0,0.000337,1088.0,3228214.0,8479300.0,0.962721,8163204.0,316096.0,28665081375.0,28660280025.0
sjeng,64,1,32,0.163476,3230520.0,0.000136,440.0,3230080.0,8479135.0,0.481101,4079317.0,4399818.0,22086274425.0,22089425250.0
sjeng,16,1,16,0.159253,3229567.0,0.000346,1116.0,3228451.0,8479304.0,0.962928,8164959.0,314345.0,27046685475.0,27051334230.0
sjeng,16,4,32,0.16043,3229322.0,0.000332,1073.0,3228249.0,8479301.0,0.962719,8163186.0,316115.0,28807226280.0,28804461450.0
sjeng,32,2,32,0.09251,3230103.0,0.000212,684.0,3229419.0,8478949.0,0.961207,8150021.0,328928.0,37703483475.0,37698584265.0
sjeng,64,1,8,0.164188,3230556.0,0.00015,486.0,3230070.0,8479130.0,0.481771,4084996.0,4394134.0,20344157415.0,20345396370.0
sjeng,16,1,8,0.160178,3229641.0,0.000355,1147.0,3228494.0,8479290.0,0.963084,8166268.0,313022.0,26490840210.0,26497170105.0
bzip2,16,1,32,0.124686,2632900.0,0.000631,1662.0,2631238.0,8878102.0,0.769365,6830498.0,2047604.0,44542563870.0,44592993885.0
bzip2,32,2,16,0.1847,2633635.0,0.000341,898.0,2632737.0,8630231.0,0.692664,5977848.0,2652383.0,28593696585.0,28563700320.0
bzip2,64,4,32,0.185986,2633987.0,0.000189,498.0,2633489.0,8513906.0,0.476414,4056145.0,4457761.0,24928136175.0,24925083330.0
bzip2,64,1,16,0.177341,2633434.0,0.000351,925.0,2632509.0,8509796.0,0.559775,4763570.0,3746226.0,26125478040.0,26092438350.0
bzip2,32,1,32,0.182114,2633413.0,0.00042,1106.0,2632307.0,8631069.0,0.690808,5962411.0,2668658.0,29370521325.0,29368362330.0
bzip2,16,2,16,0.125668,2633169.0,0.000546,1437.0,2631732.0,8877742.0,0.769544,6831812.0,2045930.0,43435650585.0,43456582125.0
bzip2,64,2,32,0.186457,2633938.0,0.000214,563.0,2633375.0,8513704.0,0.477123,4062085.0,4451619.0,24859620780.0,24840096120.0
bzip2,64,2,16,0.18405,2633808.0,0.000234,615.0,2633193.0,8513496.0,0.47478,4042041.0,4471455.0,24908193510.0,24911876970.0
bzip2,32,1,8,0.174059,2632944.0,0.000583,1536.0,2631408.0,8627208.0,0.746895,6443618.0,2183590.0,30198453210.0,30192391200.0
bzip2,32,1,16,0.177519,2633205.0,0.000474,1247.0,2631958.0,8628369.0,0.726885,6271828.0,2356541.0,29908378275.0,29907925380.0
bzip2,32,4,32,0.185548,2633804.0,0.000302,796.0,2633008.0,8630230.0,0.691699,5969521.0,2660709.0,28848699525.0,28803586845.0
bzip2,16,2,32,0.12579,2633234.0,0.000531,1399.0,2631835.0,8877907.0,0.769576,6832221.0,2045686.0,43961900400.0,44058379695.0
bzip2,64,1,32,0.181589,2633514.0,0.000306,807.0,2632707.0,8512836.0,0.467348,3978456.0,4534380.0,25431051180.0,25455664050.0
bzip2,16,1,16,0.121445,2632670.0,0.000699,1841.0,2630829.0,8874764.0,0.783456,6952987.0,1921777.0,44933356845.0,44911108605.0
bzip2,16,4,32,0.125878,2633342.0,0.00051,1344.0,2631998.0,8878533.0,0.769323,6830458.0,2048075.0,44005223415.0,44035246620.0
bzip2,32,2,32,0.185368,2633797.0,0.000323,850.0,2632947.0,8629935.0,0.692094,5972725.0,2657210.0,28846641030.0,28864792800.0
bzip2,64,1,8,0.17465,2633116.0,0.000456,1200.0,2631916.0,8508758.0,0.601048,5114169.0,3394589.0,26418919545.0,26441986350.0
bzip2,16,1,8,0.119888,2632427.0,0.000816,2149.0,2630278.0,8874072.0,0.791298,7022038.0,1852034.0,45142505775.0,45138374205.0
